33298	de	ADP	_	ADP	_	_
12559	en	ADP	_	ADP	_	_
8949	a	ADP	_	ADP	_	_
3892	por	ADP	_	ADP	_	_
3736	con	ADP	_	ADP	_	_
2153	para	ADP	_	ADP	_	_
1654	como	ADP	_	ADP	_	_
662	entre	ADP	_	ADP	_	_
531	desde	ADP	_	ADP	_	_
503	sobre	ADP	_	ADP	_	_
493	durante	ADP	_	ADP	_	_
490	hasta	ADP	_	ADP	_	_
479	sin	ADP	_	ADP	_	_
337	según	ADP	_	ADP	_	_
279	tras	ADP	_	ADP	_	_
178	contra	ADP	_	ADP	_	_
152	bajo	ADP	_	ADP	_	_
145	al	ADP	_	ADP	_	_
143	hacia	ADP	_	ADP	_	_
135	ante	ADP	_	ADP	_	_
74	mediante	ADP	_	ADP	_	_
63	del	ADP	_	ADP	_	_
29	per	ADP	_	ADP	_	_
9	salvo	ADP	_	ADP	_	_
8	excepto	ADP	_	ADP	_	_
7	vía	ADP	_	ADP	_	_
3	of	ADP	_	ADP	_	_
3	incluso	ADP	_	ADP	_	_
2	hacía	ADP	_	ADP	_	_
2	frente	ADP	_	ADP	_	_
2	di	ADP	_	ADP	_	_
2	después	ADP	_	ADP	_	_
2	dentro	ADP	_	ADP	_	_
2	cómo	ADP	_	ADP	_	_
1	en	ADP	_	ADP	_	_
1	desde	ADP	_	ADP	_	_
1	pro	ADP	_	ADP	_	_
1	pos	ADP	_	ADP	_	_
1	partir	ADP	_	VERB	VerbForm=Inf	case
1	on	ADP	_	ADP	_	_
1	mientras	ADP	_	ADP	_	_
1	in	ADP	_	ADP	_	_
1	enn	ADP	_	ADP	_	_
1	dos	ADP	_	ADP	_	_
1	deñ	ADP	_	ADP	_	_
1	des	ADP	_	ADP	_	_
1	dal	ADP	_	ADP	_	_
1	da	ADP	_	ADP	_	_
1	d	ADP	_	ADP	_	_
1	casi	ADP	_	ADV	_	advmod
1	aparte	ADP	_	ADP	_	_
1	acerca	ADP	_	ADP	_	_